City,StateName,2021_Avg_Rent,2022_Avg_Rent,2023_Avg_Rent,2024_Avg_Rent,2025_Avg_Rent,Current_Rent
United States,,1753.0,1945.0,2049.0,2138.0,2211.0,2211.0
"New York, NY",NY,2627.0,2891.0,3086.0,3256.0,3382.0,3382.0
"Los Angeles, CA",CA,3431.0,3790.0,3976.0,4146.0,4353.0,4353.0
"Chicago, IL",IL,1822.0,1979.0,2119.0,2266.0,2394.0,2394.0
"Dallas, TX",TX,1917.0,2132.0,2233.0,2291.0,2326.0,2326.0
"Houston, TX",TX,1825.0,1966.0,2054.0,2123.0,2165.0,2165.0
"Washington, DC",VA,2498.0,2684.0,2836.0,2989.0,3109.0,3109.0
"Philadelphia, PA",PA,1730.0,1886.0,1991.0,2100.0,2185.0,2185.0
"Miami, FL",FL,2481.0,3049.0,3220.0,3327.0,3394.0,3394.0
"Atlanta, GA",GA,1736.0,1941.0,2033.0,2105.0,2179.0,2179.0
"Boston, MA",MA,2684.0,2941.0,3173.0,3338.0,3442.0,3442.0
"Phoenix, AZ",AZ,1922.0,2138.0,2192.0,2235.0,2272.0,2272.0
"San Francisco, CA",CA,3408.0,3611.0,3713.0,3840.0,3971.0,3971.0
"Riverside, CA",CA,2443.0,2741.0,2863.0,2979.0,3069.0,3069.0
"Detroit, MI",MI,1255.0,1380.0,1440.0,1517.0,1573.0,1573.0
"Seattle, WA",WA,2648.0,2878.0,3005.0,3139.0,3259.0,3259.0
"Minneapolis, MN",MN,1965.0,2087.0,2181.0,2277.0,2377.0,2377.0
"San Diego, CA",CA,3103.0,3519.0,3749.0,3908.0,4023.0,4023.0
"Tampa, FL",FL,1805.0,2128.0,2242.0,2315.0,2385.0,2385.0
"Denver, CO",CO,2365.0,2562.0,2688.0,2801.0,2862.0,2862.0
"Baltimore, MD",MD,1862.0,2014.0,2127.0,2230.0,2318.0,2318.0
"St. Louis, MO",MO,1204.0,1320.0,1409.0,1504.0,1582.0,1582.0
"Orlando, FL",FL,1907.0,2212.0,2306.0,2375.0,2420.0,2420.0
"Charlotte, NC",NC,1672.0,1860.0,1972.0,2051.0,2122.0,2122.0
"San Antonio, TX",TX,1591.0,1739.0,1794.0,1818.0,1837.0,1837.0
"Portland, OR",OR,2190.0,2371.0,2468.0,2545.0,2616.0,2616.0
"Sacramento, CA",CA,2308.0,2493.0,2561.0,2655.0,2728.0,2728.0
"Pittsburgh, PA",PA,1250.0,1343.0,1411.0,1492.0,1561.0,1561.0
"Cincinnati, OH",OH,1529.0,1684.0,1809.0,1928.0,2015.0,2015.0
"Austin, TX",TX,2021.0,2245.0,2275.0,2262.0,2265.0,2265.0
"Las Vegas, NV",NV,1851.0,2059.0,2080.0,2150.0,2189.0,2189.0
"Kansas City, MO",MO,1292.0,1411.0,1507.0,1602.0,1685.0,1685.0
"Columbus, OH",OH,1562.0,1701.0,1807.0,1922.0,2005.0,2005.0
"Indianapolis, IN",IN,1381.0,1518.0,1611.0,1717.0,1816.0,1816.0
"Cleveland, OH",OH,1213.0,1342.0,1427.0,1542.0,1634.0,1634.0
"San Jose, CA",CA,3710.0,3925.0,4076.0,4246.0,4401.0,4401.0
"Nashville, TN",TN,1843.0,2069.0,2167.0,2236.0,2291.0,2291.0
"Virginia Beach, VA",VA,1614.0,1797.0,1925.0,2034.0,2127.0,2127.0
"Providence, RI",RI,2211.0,2452.0,2651.0,2810.0,2971.0,2971.0
"Jacksonville, FL",FL,1596.0,1810.0,1877.0,1934.0,1975.0,1975.0
"Milwaukee, WI",WI,1272.0,1371.0,1477.0,1576.0,1652.0,1652.0
"Oklahoma City, OK",OK,1230.0,1340.0,1401.0,1456.0,1506.0,1506.0
"Raleigh, NC",NC,1693.0,1884.0,1972.0,2039.0,2085.0,2085.0
"Memphis, TN",TN,1290.0,1420.0,1478.0,1535.0,1587.0,1587.0
"Richmond, VA",VA,1588.0,1776.0,1910.0,2034.0,2125.0,2125.0
"Louisville, KY",KY,1245.0,1367.0,1461.0,1556.0,1625.0,1625.0
"New Orleans, LA",LA,1539.0,1701.0,1761.0,1819.0,1875.0,1875.0
"Salt Lake City, UT",UT,1986.0,2218.0,2308.0,2382.0,2441.0,2441.0
"Hartford, CT",CT,1848.0,2072.0,2242.0,2400.0,2514.0,2514.0
"Buffalo, NY",NY,1433.0,1563.0,1684.0,1777.0,1840.0,1840.0
"Birmingham, AL",AL,1163.0,1260.0,1336.0,1415.0,1483.0,1483.0
"Rochester, NY",NY,1476.0,1626.0,1768.0,1898.0,2003.0,2003.0
"Grand Rapids, MI",MI,1542.0,1722.0,1825.0,1925.0,2034.0,2034.0
"Tucson, AZ",AZ,1536.0,1706.0,1775.0,1841.0,1871.0,1871.0
"Urban Honolulu, HI",HI,2658.0,2835.0,2936.0,3067.0,3199.0,3199.0
"Tulsa, OK",OK,1247.0,1373.0,1447.0,1512.0,1574.0,1574.0
"Fresno, CA",CA,1887.0,2096.0,2215.0,2307.0,2371.0,2371.0
"Worcester, MA",MA,1968.0,2211.0,2403.0,2571.0,2699.0,2699.0
"Omaha, NE",NE,1505.0,1635.0,1757.0,1862.0,1949.0,1949.0
"Bridgeport, CT",CT,3253.0,3588.0,3824.0,4025.0,4203.0,4203.0
"Greenville, SC",SC,1409.0,1557.0,1664.0,1747.0,1816.0,1816.0
"Albuquerque, NM",NM,1558.0,1761.0,1892.0,1983.0,2046.0,2046.0
"Bakersfield, CA",CA,1743.0,1967.0,2048.0,2148.0,2228.0,2228.0
"Albany, NY",NY,1687.0,1830.0,1934.0,2056.0,2154.0,2154.0
